row_id,Category Code,SPECS
63,[341830000000],"{'[Type]': '[Multi-Tap Solid State]', '[Series]': '[TRR Traditionaire]', '[Voltage Rating]': '[120 to 277 | V]', '[Lamp Type]': '[LED/Solid State]', '[Lens Type]': '[Acrylic Refractor]', '[Lumens]': '[5000 | Lumens]', '[Mounting Type]': '[Post]', '[Housing Material]': '[Die-Cast Aluminum]', '[Housing Finish]': '[Polyester Powder Coated]'}"
64,[1012150000],"{'[Type]': '[Foundry]', '[Series]': '[A1]', '[Head Diameter]': '[3/4 | in]', '[Shank Diameter]': '[1/4 | in]', '[Shank Length]': '[1-1/2 | in]', '[Grit]': '[24]', '[Grade]': '[U]', '[Abrasive Material]': '[Zirconia Alumina]', '[Maximum Speed]': '[19800 | rpm]', '[Bond Type]': '[Resin]'}"
65,[1015110000],"{'[Type]': '[Arbor Hole]', '[Outside Diameter]': '[2 | in]', '[Inside Diameter]': '[1 | in]', '[Material]': '[Metal]'}"
66,[1146150000],"{'[Type]': '[Disposable]', '[Size]': '[Universal]', '[Headstrap Type]': '[Adjustable]', '[Resists]': '[Bodily Fluids and Blood]', '[Material]': '[Polypropylene]', '[Color]': '[Blue]'}"
67,[1015160000],"{'[Type]': '[Drive]', '[Suitable For Use With]': '[Quick-Change on Tool]'}"
68,[1112140000],"{'[Type]': '[Examination]', '[Size]': '[Large]', '[Material]': '[Vinyl/Nitrile]', '[Color]': '[Blue]', '[Hand Type]': '[Ambidextrous]', '[Application Type]': '[Examination Grade]', '[Style]': '[Disposable]', '[Powder Style]': '[Powder-Free]', '[Thickness]': '[5 | mil]'}"
69,[3622210000],"{'[Type]': '[Turbo Segment]', '[Series]': '[DT 350 BT Extra]', '[Blade Diameter]': '[12 | in]', '[Cutting Width]': '[7/64 | in]', '[Segment Height]': '[3/8 | in]', '[Maximum Speed]': '[6400 | rpm]', '[Applicable Materials]': '[Concrete/Cured Concrete/Reinforced Concrete]'}"
70,[1014150000],"{'[Type]': '[Plastic Sleeve]', '[Series]': '[NFW 600 S]', '[Wheel Diameter]': '[4 | in]', '[Face Width]': '[2 | in]', '[Shank Diameter]': '[3/4 | in]', '[Grade]': '[Very Fine]', '[Abrasive Material]': '[Aluminum Oxide]', '[Maximum Speed]': '[3700 | rpm]'}"
71,[342012000000],"{'[Type]': '[Insert]', '[Series]': '[RL271]', '[Suitable For Use With]': '[RL271 Series Downlights]', '[Material]': '[Die-Cast Aluminum]', '[Color]': '[Satin Nickel]'}"
72,[1146150000],"{'[Type]': '[Medical N95]', '[Size]': '[Universal]', '[Headstrap Type]': '[Adjustable]', '[Resists]': '[Bodily Fluids and Blood]', '[Material]': '[Polypropylene]', '[Color]': '[White]'}"
73,[3418130000000],"{'[Type]': '[Balanced]', '[Series]': '[HLB8]', '[Trim Size]': '[8 | in]', '[Mounting Type]': '[Ceiling]', '[Material]': '[Die-Cast Aluminum]'}"
74,[341832000000],"{'[Type]': '[Luminaire]', '[Series]': '[OWVS1]', '[Voltage Rating]': '[120 to 277 | V]', '[Lamp Type]': '[LED]', '[Light Color]': '[Neutral White/Cool White/Bright White]', '[Color Temperature]': '[4000, 5000, 3500 | K]', '[Ballast Type]': '[0 to 10 V Dimming]', '[Lumens]': '[5000, 4000, 6000 | Lumens]', '[Mounting Type]': '[Surface]'}"
75,[342310000000],"{'[Type]': '[Flicker-Free Triac Dimming]', '[Series]': '[ET-LED-343]', '[Lamp Type]': '[LED]', '[Fixture Wattage]': '[14 | W]', '[Voltage Rating]': '[120 | V]', '[Color Temperature]': '[3000 | K]', '[Maximum Extension]': '[360 deg horizontal/180 deg vertical]', '[Color Rendering Index (CRI)]': '[90]', '[Beam Spread]': '[36 to 38 deg Flood]', '[Head Type]': '[Adjustable]', '[Width]': '[3.66 | in]', '[Length]': '[4.22 | in]', '[Mounting Type]': '[Ceiling]', '[Housing Material]': '[Extruded Die Cast Aluminum]', '[Housing Finish]': '[Architectural Black]'}"
76,[1015110000],"{'[Type]': '[Arbor Hole]', '[Outside Diameter]': '[2 | in]', '[Inside Diameter]': '[1-1/4 | in]', '[Material]': '[Metal]'}"
77,[1112140000],"{'[Type]': '[Examination]', '[Size]': '[X-Large]', '[Material]': '[Vinyl]', '[Color]': '[Blue]', '[Hand Type]': '[Ambidextrous]', '[Application Type]': '[Examination Grade]', '[Style]': '[Disposable]', '[Powder Style]': '[Powder-Free]', '[Thickness]': '[5 | mil]'}"
78,[1012150000],"{'[Type]': '[Foundry]', '[Series]': '[A11]', '[Head Diameter]': '[7/8 | in]', '[Shank Diameter]': '[1/4 | in]', '[Shank Length]': '[1-1/2 | in]', '[Grit]': '[24]', '[Grade]': '[U]', '[Abrasive Material]': '[Zirconia Alumina]', '[Maximum Speed]': '[19860 | rpm]', '[Bond Type]': '[Resin]'}"
79,[1015110000],"{'[Type]': '[Arbor Hole]', '[Outside Diameter]': '[2 | in]', '[Inside Diameter]': '[1-1/2 | in]', '[Material]': '[Metal]'}"
80,[1012150000],"{'[Type]': '[Foundry]', '[Series]': '[A3]', '[Head Diameter]': '[1 | in]', '[Shank Diameter]': '[1/4 | in]', '[Shank Length]': '[1-1/2 | in]', '[Grit]': '[24]', '[Grade]': '[U]', '[Abrasive Material]': '[Zirconia Alumina]', '[Maximum Speed]': '[16100 | rpm]', '[Bond Type]': '[Resin]'}"
81,[1112140000],"{'[Type]': '[Examination]', '[Size]': '[2X-Large]', '[Material]': '[Vinyl/Nitrile]', '[Color]': '[Blue]', '[Hand Type]': '[Ambidextrous]', '[Application Type]': '[Examination Grade]', '[Style]': '[Disposable]', '[Powder Style]': '[Powder-Free]', '[Thickness]': '[5 | mil]'}"
82,[1112110000],"{'[Size]': '[Medium]', '[Material]': '[Foam PVC]', '[Color]': '[Blue/Yellow]', '[Finish]': '[Sandy Finish]', '[Hand Type]': '[Left/Right]', '[Lining]': '[Cotton Interlock]', '[Cuff Style]': '[Knit Wrist]', '[Coating]': '[PVC]', '[Resists]': '[Abrasion/Cut/Tear/Puncture]'}"
83,[341832000000],"{'[Type]': '[Luminaire]', '[Series]': '[OWVS1]', '[Voltage Rating]': '[120 to 277 | VAC]', '[Fixture Wattage]': '[10 | W]', '[Lamp Type]': '[LED]', '[Average Life]': '[100000 | hrs]', '[Light Color]': '[Neutral White/Cool White/Bright White]', '[Color Temperature]': '[4000, 5000, 3500 | K]', '[Color Rendering Index (CRI)]': '[85]', '[Ballast Type]': '[0 to 10 V Dimming]', '[Lumens]': '[8000, 10000, 12000 | Lumens]', '[Mounting Type]': '[Surface/Suspension]', '[Dimensions]': '[3.5 in H x 94.5 in W x 3 in D]'}"
84,[342012000000],"{'[Type]': '[Insert]', '[Series]': '[RL375]', '[Suitable For Use With]': '[RL375 Series Downlights]', '[Material]': '[Die-Cast Aluminum]', '[Color]': '[Black]'}"
85,[1010140000],"{'[Type]': '[Semi-Open Coat]', '[Series]': '[PL 31 B]', '[Roll Width]': '[3.5 | in]', '[Roll Length]': '[1968 | in]', '[Grit]': '[80]', '[Abrasive Material]': '[Aluminium Oxide]', '[Backing Material]': '[B-Paper]', '[Color]': '[Orange]', '[Applicable Materials]': '[Wood/Metals]'}"
86,[1913420000],"{'[Screw Size]': '[460 | mm]', '[Overall Length]': '[10 | ft]'}"
87,[341835000000],"{'[Type]': '[Full Cut-Off Large]', '[Series]': '[OWP-FC-311-LED]', '[Voltage Rating]': '[120 to 277 | VAC]', '[Fixture Wattage]': '[76.8 | W]', '[Lamp Type]': '[LED]', '[Light Output]': '[137 | Lumens/W]', '[Color Temperature]': '[4000 | K]', '[Color Rendering Index (CRI)]': '[80]', '[Lens Type]': '[Polycarbonate]', '[Lumens]': '[12000 | Lumens]', '[Mounting Type]': '[Wall]', '[Housing Finish]': '[Bronze]', '[Dimensions]': '[10.81 in H x 18 in W x 11.24 in D]'}"
88,[1146150000],"{'[Type]': '[Medical N95]', '[Size]': '[Universal]', '[Headstrap Type]': '[Adjustable]', '[Resists]': '[Bodily Fluids and Blood]', '[Material]': '[Polypropylene]', '[Color]': '[White]'}"
89,[3622210000],"{'[Type]': '[Turbo Segment]', '[Series]': '[DT 350 BT Extra]', '[Blade Diameter]': '[12 | in]', '[Cutting Width]': '[7/64 | in]', '[Segment Height]': '[3/8 | in]', '[Maximum Speed]': '[6400 | rpm]', '[Applicable Materials]': '[Concrete/Cured Concrete/Reinforced Concrete]'}"
90,[342310000000],"{'[Type]': '[Flicker-Free Triac Dimming]', '[Series]': '[ET-LED-344]', '[Lamp Type]': '[LED]', '[Fixture Wattage]': '[29.4 | W]', '[Voltage Rating]': '[120 | V]', '[Color Temperature]': '[3000 | K]', '[Maximum Extension]': '[360 deg horizontal/180 deg vertical]', '[Color Rendering Index (CRI)]': '[90]', '[Beam Spread]': '[36 to 38 deg Flood]', '[Head Type]': '[Adjustable]', '[Width]': '[4.61 | in]', '[Length]': '[5.66 | in]', '[Mounting Type]': '[Ceiling]', '[Housing Material]': '[Extruded Die Cast Aluminum]', '[Housing Finish]': '[Architectural White]'}"
91,[1011120000],"{'[Type]': '[Narrow Face Crimped]', '[Series]': '[TLN-4]', '[Brush Diameter]': '[4 | in]', '[Face Width]': '[1/2 | in]', '[Arbor Hole Size]': '[1/2 to 3/8 | in]', '[Filament/Wire Type]': '[Crimped]', '[Filament/Wire Diameter]': '[0.006 | in]', '[Fill Material]': '[Steel]', '[Trim Length]': '[7/8 | in]', '[Maximum Speed]': '[12500 | rpm]', '[Attachment Type]': '[Snap-In]'}"
92,[1130240000],"{'[Size]': '[One Size]', '[Lens Color]': '[Clear]', '[Frame Material]': '[Polycarbonate]', '[Temple Style]': '[Soft]'}"
93,[373326000000],"{'[Series]': '[76-400]', '[Glove Type]': '[Work]', '[Size]': '[X-Small]', '[Palm Material]': '[Nitrile]', '[Material]': '[Nylon]', '[Color]': '[Grey/Black]', '[Style]': '[Left/Right Hand]', '[Cuff Style]': '[Seamless]', '[Coating]': '[Nitrile]', '[Resists]': '[Abrasion]'}"
94,[1024101000],"{'[Type]': '[Round Tip]', '[Series]': '[T16]', '[Maximum Diameter]': '[2 | in]', '[Grit]': '[20]', '[Bond Type]': '[Resin]', '[Shape Type]': '[Type 16]', '[Thread Size]': '[5/8 in - 11]', '[Maximum Speed]': '[18145 | rpm]', '[Abrasive Material]': '[Zirconia Alumina]'}"
95,[342013000000],"{'[Type]': '[Downlight]', '[Series]': '[RL276]', '[Voltage Rating]': '[120 | V]', '[Fixture Wattage]': '[8 | W]', '[Lighting Technology]': '[LED]', '[Lamp Type]': '[LED]', '[Number of Lamps]': '[1]', '[Recessed Trim Type]': '[Baffle]', '[Average Life]': '[50000 | hrs]', '[Light Color]': '[Blanco]', '[Color Temperature]': '[3500 | K]', '[Color Rendering Index (CRI)]': '[90]', '[Ballast Type]': '[5% TRIAC Dimming]', '[Lumens]': '[600 | Lumens]', '[Housing Material]': '[Cast Aluminum]', '[Dimensions]': '[3-1/8 in H x 2-3/8 in W x 2-1/2 in D]'}"
96,[341121000000],"{'[Type]': '[Edge-Lit]', '[Series]': '[ELX-611]', '[Voltage Rating]': '[120 to 277 | V]', '[Lighting Technology]': '[LED]', '[Legend]': '[EXIT]', '[Lamp Type]': '[LED]', '[Lamp Wattage]': '[3, 5 | W]', '[Average Life]': '[219000 | hrs]', '[Light Color]': '[Green]', '[Mounting Type]': '[Universal]', '[Power Source]': '[Nickel-Cadmium Battery]', '[Housing Material]': '[Aluminum]', '[Housing Finish]': '[Natural Aluminum]', '[Dimensions]': '[7-3/8 in H x 13-3/4 in W x 2 in D]'}"
97,[341524000000],"{'[Type]': '[Round Medium Distribution]', '[Series]': '[UHB-18]', '[Voltage Rating]': '[347 | V]', '[Fixture Wattage]': '[150 | W]', '[Amperage Rating]': '[0.43 | A]', '[Lighting Technology]': '[LED]', '[Lamp Type]': '[LED]', '[Average Life]': '[60000 | hrs]', '[Color Temperature]': '[4000 | K]', '[Color Rendering Index (CRI)]': '[80]', '[Ballast Type]': '[0 to 10 V Dimmable]', '[Lumens]': '[18000 | Lumens]', '[Cord Type]': '[6 ft with Dimming Leads]', '[Enclosure Type]': '[IP65]', '[Mounting Type]': '[Suspended]', '[Housing Material]': '[Die-Cast Aluminum]', '[Housing Finish]': '[White Polyester Powder Coated]'}"
98,[341815000000],"{'[Series]': '[OFL]', '[Voltage Rating]': '[120 to 277 | VAC]', '[Fixture Wattage]': '[50/90 | W]', '[Lamp Type]': '[LED]', '[Light Output]': '[130 | Lumens/W]', '[Average Life]': '[1000 | hrs]', '[Color Temperature]': '[5000 | K]', '[Color Rendering Index (CRI)]': '[70]', '[Ballast Type]': '[0 to 10 V Dimming]', '[Lumens]': '[9100/13000 | Lumens]', '[Housing Material]': '[Aluminum Alloy]', '[Housing Finish]': '[Bronze]', '[Dimensions]': '[12.2 in H x 11.7 in W x 3.15 in D]'}"
99,[232412000000],"{'[Series]': '[SLSTP]', '[Box Size]': '[8 | ft]', '[Load Capacity]': '[0.44 | L]', '[Mounting Type]': '[Row]', '[Material]': '[Metal]', '[Dimensions]': '[12.25 in H x 0.6 in W x 2.4 in L]'}"
100,[341342000000],"{'[Series]': '[EU-LED]', '[Voltage Rating]': '[120 | V]', '[Fixture Wattage]': '[4 | W]', '[Lamp Type]': '[LED]', '[Average Life]': '[50000 | hrs]', '[Color Temperature]': '[3000/3500/4100 | K]', '[Color Rendering Index (CRI)]': '[90]', '[Ballast Type]': '[TRIAC]', '[Lens Type]': '[Polycarbonate]', '[Lumens]': '[300 | Lumens]', '[Housing Material]': '[Steel]', '[Housing Finish]': '[Polyester Powder Coated/Bronze]', '[Dimensions]': '[1-5/8 in H x 3-1/2 in W x 9 in L]'}"
101,[341837000000],"{'[Series]': '[SWL]', '[Lamp Type]': '[LED]', '[Average Life]': '[50000 | hrs]', '[Color Temperature]': '[4000 | K]', '[Color Rendering Index (CRI)]': '[80]', '[Lens Type]': '[Frosted]', '[Lumens]': '[500 | Lumens]', '[Mounting Type]': '[Wall]', '[Housing Material]': '[Polycarbonate]', '[Housing Finish]': '[Bronze]', '[Dimensions]': '[3.32 in H x 6.15 in W x 5.27 in D]'}"
102,[341343000000],"{'[Type]': '[Architectural]', '[Series]': '[OEC]', '[Voltage Rating]': '[120 to 277 | V]', '[Lamp Type]': '[LED]', '[Lamp Wattage]': '[46, 56, 63 | W]', '[Average Life]': '[50000 | hrs]', '[Color Temperature]': '[3500, 4000, 5000 | K]', '[Color Rendering Index (CRI)]': '[85]', '[Lens Type]': '[Frosted Acrylic]', '[Lumens]': '[6000, 7000, 8000 | Lumens]', '[Mounting Type]': '[Surface/Suspended]', '[Housing Material]': '[Steel]', '[Housing Finish]': '[High Gloss White]', '[Dimensions]': '[2-7/8 in L x 3-3/8 in W x 5-3/8 in H]'}"
103,[341537000000],"{'[Suitable For Use With]': '[2-3/8 in Tenon]', '[Color]': '[Bronze]'}"
104,[1010170000],"{'[Type]': '[Extra Abrasive]', '[Series]': '[SMT 325 Extra]', '[Disc Diameter]': '[4.5 | in]', '[Grit]': '[40]', '[Abrasive Material]': '[Zirconia Alumina]', '[Disc Type]': '[Flap]', '[Backing Material]': '[Plastic]', '[Maximum Speed]': '[13300 | rpm]'}"
105,[1010120000],"{'[Type]': '[Abrasive]', '[Series]': '[CS 561]', '[Disc Diameter]': '[125 | mm]', '[Center Hole Size]': '[22 | mm]', '[Grit]': '[24]', '[Abrasive Material]': '[Aluminum Oxide]', '[Backing Material]': '[Fibre]', '[Applicable Materials]': '[Steel/NF metals/Metals/Plastic/Stainless Steel/Wood]', '[Maximum Speed]': '[12200 | rpm]'}"
106,[331422000000],"{'[Type]': '[Large Button]', '[Series]': '[FDW]', '[Voltage Rating]': '[9.5 to 22.5 | VDC]', '[Operation Mode]': '[On/Off]', '[Control]': '[2-Button On/Off]', '[Mounting Type]': '[Wall]', '[Color]': '[White]'}"
107,[341811000000],"{'[Type]': '[Area Luminaire]', '[Series]': '[LAS100S]', '[Voltage Rating]': '[347 to 480 | V]', '[Amperage Rating]': '[0.09 to 0.45 | A]', '[Lamp Type]': '[LED]', '[Lamp Wattage]': '[251 | W]', '[Light Output]': '[135 | Lumens/W]', '[Color Temperature]': '[4000 | K]', '[Color Rendering Index (CRI)]': '[70]', '[Ballast Type]': '[0 to 10 V Dimming]', '[Lens Type]': '[UV-Resistant Polycarbonate]', '[Lumens]': '[34000 | Lumens]', '[Enclosure Type]': '[IP65/IP66]', '[Mounting Type]': '[Slipfitter]', '[Housing Material]': '[Die-Cast Aluminum]', '[Housing Finish]': '[Bronze]', '[Dimensions]': '[9-17/64 in H x 27-37/64 in L x 12-7/32 in W]'}"
108,[1163111814],"{'[Series]': '[40-151]', '[Size]': '[3X-Large]', '[Color]': '[White]', '[Material]': '[Microporous]', '[Resists]': '[Non-Hazardous Liquids/Dry Particles]'}"
109,[2822220000],"{'[Type]': '[5 Button]', '[Series]': '[WWBL5]', '[Switch Type]': '[5-Button with Raise/Lower Keypad]', '[Operation Mode]': '[Raise/Lower]', '[Sensing Range]': '[100 | ft]', '[Frequency Rating]': '[2.4 | GHz]', '[Mounting Type]': '[Standard]', '[Temperature Rating]': '[32 to 113 | deg F]', '[Color]': '[White]', '[Dimensions]': '[4.2 in H x 1.8 in W x 1.5 in D]'}"
110,[1010281200],"{'[Type]': '[Self-Fastening Semi-Open Coat]', '[Series]': '[FP 77 K T-ACT]', '[Disc Diameter]': '[6 | in]', '[Grit]': '[280]', '[Grade]': '[Fine]', '[Abrasive Material]': '[Aluminum Oxide]', '[Backing Material]': '[Film]'}"
111,[341321000000],"{'[Type]': '[Architectural]', '[Series]': '[CB2-LED]', '[Voltage Rating]': '[120 to 277 | V]', '[Lighting Technology]': '[LED]', '[Lamp Type]': '[LED]', '[Lamp Wattage]': '[440 | W]', '[Average Life]': '[70000 | hrs]', '[Color Temperature]': '[4000 | K]', '[Color Rendering Index (CRI)]': '[85]', '[Ballast Type]': '[0 to 10 V 5% Dimming]', '[Lens Type]': '[Frosted Acrylic]', '[Lumens]': '[58000 | Lumens]', '[Mounting Type]': '[Suspended]', '[Housing Material]': '[Steel]', '[Housing Finish]': '[Post Painted White]', '[Dimensions]': '[5.5 in H x 45-13/16 in W x 6 in D]'}"
112,[341114000000],"{'[Series]': '[ELM-LED-861]', '[Voltage Rating]': '[120 to 277 | V]', '[Lamp Type]': '[LED]', '[Lamp Wattage]': '[1.5 | W]', '[Number of Heads]': '[2]', '[Lumens]': '[60 | Lumens]', '[Power Source]': '[Ni-Cd Battery]', '[Mounting Type]': '[Universal]', '[Material]': '[Thermoplastic]', '[Color]': '[Black]'}"
113,[341827000000],"{'[Type]': '[Twin Head]', '[Series]': '[SFLS]', '[Lamp Type]': '[LED]', '[Lamp Wattage]': '[50 | W]', '[Number of Lamps]': '[2]', '[Average Life]': '[50000 | hrs]', '[Color Temperature]': '[4000 | K]', '[Color Rendering Index (CRI)]': '[80]', '[Lens Type]': '[Frosted]', '[Lumens]': '[700 | Lumens]', '[Mounting Type]': '[Eave/Wall]', '[Housing Material]': '[Polycarbonate]', '[Sensing Angle]': '[180 | deg]', '[Time Delay]': '[30, 60, 90 | sec]', '[Detection Range]': '[40 | ft]', '[Dimensions]': '[6.46 in H x 8.94 in W]'}"
114,[341315000000],"{'[Series]': '[OMS-LED]', '[Voltage Rating]': '[120 | V]', '[Fixture Wattage]': '[28 | W]', '[Lighting Technology]': '[LED]', '[Lamp Type]': '[LED]', '[Average Life]': '[50000 | hrs]', '[Color Temperature]': '[4000 | K]', '[Color Rendering Index (CRI)]': '[90]', '[Shade Type]': '[Acrylic]', '[Lens Type]': '[White Acrylic]', '[Lumens]': '[2200 | Lumens]', '[Mounting Type]': '[Surface]', '[Housing Material]': '[Metal]', '[Dimensions]': '[3.5 in H x 14 in Dia]'}"
115,[341331000000],"{'[Series]': '[VT2]', '[Voltage Rating]': '[120 to 277 | V]', '[Fixture Wattage]': '[30 | W]', '[Lighting Technology]': '[LED]', '[Lamp Type]': '[LED 5.0]', '[Light Output]': '[150 | Lumens/W]', '[Average Life]': '[60000 | hrs]', '[Color Temperature]': '[3500 | K]', '[Color Rendering Index (CRI)]': '[80]', '[Ballast Type]': '[Dimming Driver]', '[Lens Type]': '[Prismatic Glass]', '[Lumens]': '[4000 | Lumens]', '[Mounting Type]': '[Chain/Surface]', '[Housing Material]': '[Fiberglass/Metal]', '[Housing Finish]': '[Grey]', '[Dimensions]': '[5-7/8 in H x 7 in W x 49-13/16 in L]'}"
116,[342010000000],"{'[Series]': '[B36IC]', '[Voltage Rating]': '[120 | V]', '[Lamp Type]': '[Incandescent]', '[Lamp Wattage]': '[75 | W]', '[Number of Lamps]': '[1]', '[Mounting Type]': '[Ceiling]', '[Diameter]': '[6 | in]', '[Height]': '[165 | mm]', '[Width]': '[184 | mm]', '[Depth]': '[191 | mm]', '[Housing Material]': '[Aluminum]', '[Color]': '[Gray]'}"
117,[1012110000],"{'[Type]': '[Flat]', '[Series]': '[A 46 TZ Special]', '[Wheel Diameter]': '[5 | in]', '[Wheel Thickness]': '[1/16 | in]', '[Center Hole Size]': '[7/8 | in]', '[Abrasive Material]': '[Aluminum Oxide]', '[Maximum Speed]': '[12200 | rpm]', '[Bond Type]': '[Synthetic Resin/Fibre-Reinforced]', '[Applicable Materials]': '[Stainless Steel/Steel]', '[Suitable For Use With]': '[Angle Grinders]'}"
118,[373326000000],"{'[Series]': '[69-250]', '[Glove Type]': '[Work]', '[Size]': '[X-Large]', '[Palm Material]': '[Nitrile]', '[Material]': '[Aramid]', '[Color]': '[Black/Yellow]', '[Style]': '[Left/Right Hand]', '[Lining]': '[13 ga Aramid]', '[Cuff Style]': '[Seamless]', '[Coating]': '[Nitrile]', '[Length]': '[250 | mm]', '[Resists]': '[Abrasion/Cut/Tear/Puncture]'}"
119,[1012130000],"{'[Type]': '[Portable Snagging]', '[Series]': '[T1]', '[Maximum Diameter]': '[3 | in]', '[Head Thickness]': '[1/2 | in]', '[Center Hole Size]': '[3/8 | in]', '[Shape Type]': '[Type 1]', '[Grit]': '[14]', '[Grade]': '[S]', '[Abrasive Material]': '[Zirconia Alumina]', '[Maximum Speed]': '[18080 | rpm]', '[Bond Type]': '[Resin]', '[Attachment Type]': '[Arbor Hole]', '[Applicable Materials]': '[Cast Iron/Cast Steel/Ductile Iron/Gray Iron/High-Nickel Alloys/Stainless Steel/White Iron]'}"
120,[341339000000],"{'[Series]': '[LED-HU-45]', '[Voltage Rating]': '[12 | VDC]', '[Fixture Wattage]': '[3 | W]', '[Lighting Technology]': '[LED]', '[Lamp Type]': '[LED]', '[Number of Lamps]': '[1]', '[Average Life]': '[50000 | hrs]', '[Color Temperature]': '[4000 | K]', '[Color Rendering Index (CRI)]': '[90]', '[Lens Type]': '[Frosted Diffuser]', '[Lumens]': '[240 | Lumens]', '[Housing Finish]': '[White]', '[Dimensions]': '[2-15/16 in H x 2-15/16 in W x 3/8 in D]'}"
121,[331525000000],"{'[Type]': '[1-Pole 3-Way]', '[Series]': '[VNW-P]', '[Voltage Rating]': '[120 to 277 | V]', '[Sensor Type]': '[PIR]', '[Coverage]': '[1000 | sq-ft]', '[Control Output]': '[Manual On]', '[Mounting Type]': '[Wall]', '[Color]': '[White]'}"
122,[2525230000],"{'[Type]': '[Abrasive Mop]', '[Series]': '[KM 613]', '[Size]': '[3 | in]', '[Length]': '[3/4 | in]', '[Headband Size]': '[1/4 | in]', '[Head Material]': '[Aluminum Oxide]'}"
123,[341820000000],"{'[Series]': '[OVR-202-LED]', '[Voltage Rating]': '[120 to 277 | VAC]', '[Fixture Wattage]': '[30, 45, 63 | W]', '[Lamp Type]': '[LED]', '[Light Output]': '[116 | Lumens/W]', '[Color Temperature]': '[4000 | K]', '[Color Rendering Index (CRI)]': '[80]', '[Ballast Type]': '[0 to 10 V Dimming]', '[Lumens]': '[3500 | Lumens]', '[Housing Material]': '[Die-Cast Aluminum]', '[Housing Finish]': '[Bronze]', '[Dimensions]': '[12 in H x 12 in W x 3.32 in D]'}"
124,[1112140000],"{'[Type]': '[Examination]', '[Size]': '[Medium]', '[Material]': '[Vinyl]', '[Color]': '[Blue]', '[Hand Type]': '[Ambidextrous]', '[Application Type]': '[Examination Grade]', '[Style]': '[Disposable]', '[Powder Style]': '[Powder-Free]', '[Thickness]': '[5 | mil]'}"
125,[1146150000],"{'[Type]': '[Disposable]', '[Size]': '[Universal]', '[Headstrap Type]': '[Dual/Adjustable]', '[Resists]': '[Bodily Fluids and Blood]', '[Material]': '[Polypropylene]', '[Color]': '[Blue]'}"
126,[1015110000],"{'[Type]': '[Arbor Hole]', '[Outside Diameter]': '[2 | in]', '[Inside Diameter]': '[3/4 | in]', '[Material]': '[Metal]'}"
127,[1015160000],"{'[Type]': '[Unitized Wheel]', '[For Hole Size]': '[1/4 | in]', '[Wheel Diameter]': '[2 to 3 | in]', '[Suitable For Use With]': '[2 in to 3 in Unitized Wheel]'}"
128,[341318000000],"{'[Type]': '[Standard]', '[Series]': '[SSF]', '[Voltage Rating]': '[120 | V]', '[Fixture Wattage]': '[40 | W]', '[Lamp Type]': '[T12]', '[Lamp Base Type]': '[Bi-Pin]', '[Number of Lamps]': '[2]', '[Mounting Type]': '[Ceiling]', '[Housing Material]': '[Cold Rolled Steel]', '[Housing Finish]': '[Baked White Enamel]', '[Dimensions]': '[3.5 in H x 2.6 in W x 4 ft L]'}"
129,[341342000000],"{'[Series]': '[EU-LED]', '[Voltage Rating]': '[120 | V]', '[Fixture Wattage]': '[5 | W]', '[Lamp Type]': '[LED]', '[Average Life]': '[50000 | hrs]', '[Color Temperature]': '[3000/3500/4100 | K]', '[Color Rendering Index (CRI)]': '[90]', '[Ballast Type]': '[TRIAC]', '[Lens Type]': '[Polycarbonate]', '[Lumens]': '[360 | Lumens]', '[Housing Material]': '[Steel]', '[Housing Finish]': '[Polyester Powder Coated/White]', '[Dimensions]': '[1-5/8 in H x 3-1/2 in W x 12 in L]'}"
130,[341524000000],"{'[Type]': '[Round Medium Distribution]', '[Series]': '[UHB-18]', '[Voltage Rating]': '[347 | V]', '[Fixture Wattage]': '[150 | W]', '[Amperage Rating]': '[0.43 | A]', '[Lighting Technology]': '[LED]', '[Lamp Type]': '[LED]', '[Average Life]': '[60000 | hrs]', '[Color Temperature]': '[5000 | K]', '[Color Rendering Index (CRI)]': '[80]', '[Ballast Type]': '[0 to 10 V Dimmable]', '[Lumens]': '[18000 | Lumens]', '[Cord Type]': '[6 ft with Dimming Leads]', '[Enclosure Type]': '[IP65]', '[Mounting Type]': '[Suspended]', '[Housing Material]': '[Die-Cast Aluminum]', '[Housing Finish]': '[White Polyester Powder Coated]'}"
131,[1015230000],"{'[Type]': '[Abrasive]', '[Series]': '[SMT 950 T Special]', '[Material]': '[Stainless Steel/Steel]', '[Dimensions]': '[4.5 in Dia]'}"
132,[342013000000],"{'[Type]': '[Downlight]', '[Series]': '[RL276]', '[Voltage Rating]': '[120 | V]', '[Fixture Wattage]': '[8 | W]', '[Lighting Technology]': '[LED]', '[Lamp Type]': '[LED]', '[Number of Lamps]': '[1]', '[Recessed Trim Type]': '[Baffle]', '[Average Life]': '[50000 | hrs]', '[Light Color]': '[Blanco]', '[Color Temperature]': '[4000 | K]', '[Color Rendering Index (CRI)]': '[90]', '[Ballast Type]': '[5% TRIAC Dimming]', '[Lumens]': '[600 | Lumens]', '[Housing Material]': '[Cast Aluminum]', '[Dimensions]': '[3-1/8 in H x 2-3/8 in W x 2-1/2 in D]'}"
